City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
125,zima,53.9202,102.0442,-24.74,100,21,1.68,RU,1706896981
126,ancud,-41.8697,-73.8203,16.16,97,96,6.17,CL,1706896828
127,monor,47.3513,19.4473,5.88,70,0,2.06,HU,1706896981
128,blackmans bay,-43.0167,147.3167,10.07,78,17,2.86,AU,1706896981
129,embi,48.8264,58.1442,-0.31,98,100,8.12,KZ,1706896982
130,rikaze,29.25,88.8833,-4.39,27,15,2.07,CN,1706896982
131,cabo san lucas,22.8909,-109.9124,27.01,58,1,4.17,MX,1706896895
132,rabaul,-4.1967,152.1721,27.2,79,100,3.57,PG,1706896982
133,iquique,-20.2208,-70.1431,26.02,67,7,2.59,CL,1706896983
134,jamestown,42.097,-79.2353,3.07,100,100,4.63,US,1706896861
135,lubumbashi,-11.6609,27.4794,18.08,97,95,1.47,CD,1706896806
136,thompson,55.7435,-97.8558,-1.91,93,100,4.12,CA,1706896959
137,tyukhtet,56.5389,89.3011,-11.56,85,100,3.16,RU,1706896984
138,san andres,12.5847,-81.7006,29.01,61,20,4.63,CO,1706896984
139,bhimunipatnam,17.8833,83.4333,23.73,81,100,1.29,IN,1706896984
140,puerto ayora,-0.7393,-90.3518,31.98,78,85,4.84,EC,1706896984
141,sinjai,-5.1241,120.253,24.5,88,74,2.15,ID,1706896985
142,motygino,58.1831,94.7592,-24.01,100,83,1.79,RU,1706896985
143,acapulco de juarez,16.8634,-99.8901,28.79,62,4,3.95,MX,1706896909
144,corner brook,48.9667,-57.9484,-4.91,94,100,1.26,CA,1706896864
145,shakawe,-18.3667,21.85,24.79,51,100,1.48,BW,1706896986
146,constantia,44.1833,28.65,1.5,69,57,3.74,RO,1706896986
147,sinabang,2.4803,96.3801,26.23,83,75,1.55,ID,1706896986
148,rongelap,11.1635,166.8941,26.43,85,99,10.0,MH,1706896987
149,uturoa,-16.7333,-151.4333,27.58,77,87,3.53,PF,1706896987
150,malango,-2.9627,119.9001,20.18,97,100,1.04,ID,1706896987
151,freetown,8.484,-13.2299,28.06,65,10,4.68,SL,1706896988
152,thomaston,32.8882,-84.3266,19.7,35,35,1.34,US,1706896988
153,kilindoni,-7.9139,39.6668,27.77,79,81,3.74,TZ,1706896988
154,de aar,-30.6497,24.0123,25.4,40,100,1.79,ZA,1706896988
155,ajdabiya,30.7554,20.2263,13.94,71,68,3.67,LY,1706896989
156,la passe,45.5549,-0.8967,11.13,86,19,2.73,FR,1706896989
157,luanda,-8.8368,13.2343,26.94,81,10,4.62,AO,1706896802
158,crucecita,-28.95,-58.9833,35.43,32,0,3.55,AR,1706896989
159,broken hill,-31.95,141.4333,22.34,26,0,3.5,AU,1706896990
160,sitka,57.0531,-135.33,-3.06,80,100,3.09,US,1706896990
161,belo sur tsiribihina,-19.7,44.55,25.32,89,96,1.7,MG,1706896990
162,cheremukhovo,60.3484,59.9851,-15.45,99,100,0.7,RU,1706896991
163,portage la prairie,49.9728,-98.2926,0.06,90,75,5.14,CA,1706896992
164,vilyuysk,63.7553,121.6247,-28.89,99,31,2.24,RU,1706896992
165,nantucket,41.2835,-70.0995,7.08,87,100,4.12,US,1706896982
166,lazaro cardenas,17.9583,-102.2,27.94,62,1,3.14,MX,1706896992
167,stepnoye,51.4,46.8667,-0.79,87,95,5.12,RU,1706896993
168,luderitz,-26.6481,15.1594,21.21,83,12,4.63,NA,1706896993
169,emure-ekiti,7.4361,5.4593,29.94,20,56,1.72,NG,1706896993
170,ust-nera,64.5667,143.2,-27.73,99,100,1.68,RU,1706896993
171,astrakhan,46.3497,48.0408,2.93,86,75,5.0,RU,1706896993
172,laguna,38.421,-121.4238,11.7,90,100,5.14,US,1706896994
173,turpan,42.9333,89.1667,1.53,39,100,0.45,CN,1706896994
174,el jadid,33.2549,-8.506,16.55,82,0,3.34,MA,1706896994
175,saint-joseph,-21.3667,55.6167,24.21,82,33,6.97,RE,1706896994
176,pirallahi,40.4723,50.333,2.08,67,4,1.89,AZ,1706896995
177,atafu village,-8.5421,-172.5159,28.19,80,99,5.6,TK,1706896995
178,viedma,-40.8135,-62.9967,35.14,27,76,10.02,AR,1706896995
179,remire-montjoly,4.9167,-52.2667,31.02,58,75,3.6,GF,1706896996
180,lampa,-33.2833,-70.9,34.89,20,0,3.6,CL,1706896996
181,zahedan,29.4963,60.8629,15.95,51,40,16.46,IR,1706896996
182,south berwick,43.2345,-70.8095,5.84,81,100,4.63,US,1706896996
183,touros,-5.1989,-35.4608,30.34,61,56,7.05,BR,1706896997
184,alofi,-19.0595,-169.9187,26.4,85,100,7.35,NU,1706896997
185,zalingei,12.9096,23.4741,22.47,19,79,0.9,SD,1706896997
186,bayramaly,37.6185,62.1671,5.86,48,100,6.85,TM,1706896997
187,olonkinbyen,70.9221,-8.7187,-5.43,59,97,8.82,SJ,1706896998
188,masterton,-40.9597,175.6575,14.94,68,45,6.0,NZ,1706896998
189,prince rupert,54.3161,-130.3201,1.83,69,0,10.29,CA,1706896818
190,weno,7.4515,151.8468,27.15,83,100,9.09,FM,1706896998
191,santa elena de uairen,4.6167,-61.1333,30.22,37,100,3.48,VE,1706896999
192,georgetown,5.4112,100.3354,29.97,77,20,1.54,MY,1706896832
193,kodinsk,58.6881,99.1844,-26.42,100,59,0.73,RU,1706896999
194,bathsheba,13.2167,-59.5167,29.34,74,40,6.69,BB,1706897000
195,hithadhoo,-0.6,73.0833,28.19,76,80,4.83,MV,1706897000
196,mount pearl,47.5166,-52.7813,-0.08,81,100,4.63,CA,1706897000
197,port-cartier,50.0334,-66.8654,-7.36,83,100,2.48,CA,1706897000
198,koshki,54.2091,50.4677,-0.84,98,100,4.58,RU,1706897000
199,flying fish cove,-10.4217,105.6791,25.82,88,100,2.57,CX,1706897001
200,kirensk,57.7853,108.1119,-28.35,100,36,0.45,RU,1706897001
201,dombarovskiy,50.7587,59.5386,-1.67,97,99,6.26,RU,1706897001
202,massakory,12.996,15.7293,24.68,14,47,5.21,TD,1706897002
203,kawalu,-7.3817,108.2082,22.6,95,100,0.58,ID,1706897002
204,hasaki,35.7333,140.8333,1.22,54,100,5.8,JP,1706897002
205,decatur,39.8403,-88.9548,7.15,70,100,8.23,US,1706897002
206,minas de marcona,-15.2119,-75.1103,23.58,61,81,5.19,PE,1706897003
207,trapani,37.8333,12.6667,10.71,86,40,4.01,IT,1706897003
208,horta,38.5333,-28.6333,17.8,89,20,5.81,PT,1706897003
209,gasa,31.5,34.4667,13.16,75,21,3.19,PS,1706897003
210,at taj,24.2049,23.2857,10.41,43,2,4.07,LY,1706897004
211,tyuratam,45.6507,63.3156,-5.9,88,96,4.99,KZ,1706897004
212,puerto deseado,-47.7503,-65.8938,26.04,28,100,15.58,AR,1706897004
213,fort bragg,35.139,-79.006,19.25,47,0,2.57,US,1706897004
214,mandera,3.9366,41.867,34.91,28,100,1.74,KE,1706897005
215,dalandzadgad,43.5708,104.425,-15.82,84,4,1.36,MN,1706897005
216,nguigmi,14.2495,13.1092,22.24,19,0,6.37,NE,1706897005
217,jbail,34.1211,35.6481,12.8,71,12,3.77,LB,1706897005
218,ringkobing,56.0901,8.244,7.79,93,100,11.53,DK,1706897006
219,biltine,14.5333,20.9167,23.84,15,9,4.32,TD,1706897006
220,argostolion,38.1811,20.489,11.04,48,20,1.54,GR,1706897006
221,khulm,36.6974,67.6983,7.38,42,100,4.99,AF,1706897006
222,kattivakkam,13.2167,80.3167,27.05,76,94,4.89,IN,1706897007
223,visby,57.6409,18.296,3.35,100,100,10.29,SE,1706897007
224,talnakh,69.4865,88.3972,-13.77,88,100,8.42,RU,1706897007
225,puerto aysen,-45.4,-72.7,17.73,67,74,4.42,CL,1706897008
226,east london,-33.0153,27.9116,25.52,69,0,6.17,ZA,1706896833
227,porto novo,6.4965,2.6036,30.9,63,43,2.94,BJ,1706897008
228,poyarkovo,49.6,128.6833,-30.77,99,18,1.67,RU,1706897008
229,metlili chaamba,32.2667,3.6333,17.52,29,0,5.14,DZ,1706897009
230,saudarkrokur,65.7461,-19.6394,-4.96,81,51,8.96,IS,1706897009
231,pitimbu,-7.4706,-34.8086,32.33,65,46,6.32,BR,1706897009
232,lihue,21.9789,-159.3672,18.19,83,84,7.33,US,1706897009
233,premnitz,52.5333,12.3333,8.33,85,100,7.46,DE,1706897010
234,robat karim,35.4846,51.0829,1.92,69,40,8.75,IR,1706897010
235,swakopmund,-22.6833,14.5333,18.88,88,100,2.24,NA,1706897010
236,taveta,-3.3963,37.6736,24.95,64,100,2.81,KE,1706897010
237,vila franca do campo,37.7167,-25.4333,18.27,99,7,4.01,PT,1706897011
238,dudinka,69.4058,86.1778,-13.51,93,100,10.73,RU,1706897011
